,ts,MAPE
364,0.49,0.24208702095766166
390,0.82,0.24208696119751494
100,0.13,0.24208327906103347
818,0.22,0.24208254138703578
690,0.16,0.2420819838156636
302,0.92,0.24208084735886318
532,0.69,0.24208084018953505
951,0.92,0.2420794742814497
965,0.58,0.24207937118780784
915,0.19,0.24207905073585453
273,0.23,0.24207663018097525
89,0.72,0.24207636464536972
370,0.59,0.24207610959577605
310,0.33,0.24207266106600753
802,0.66,0.24207245287753473
428,0.61,0.24207165426998742
537,0.1,0.24207132552302893
605,0.57,0.2420695498586878
95,0.17,0.24206888353560524
782,0.72,0.24206847534390943
864,0.52,0.24206842671653198
510,0.2,0.24206796862351493
744,0.9,0.2420671845133282
608,0.34,0.24206597594202167
115,0.31,0.24206196207519923
334,0.14,0.2420610400777923
82,0.21,0.242060986852271
5,0.2,0.24206043596196275
647,0.76,0.2420603807004497
135,0.84,0.24205690311569
909,0.38,0.24205636294942304
572,0.31,0.24205606082782838
105,0.4,0.2420560241193146
705,0.78,0.24205502969016973
245,0.83,0.24205417331917303
265,0.92,0.24205353589359696
459,0.22,0.2420524539122889
567,0.48,0.24205201895123254
899,0.72,0.24204432252672214
113,0.3,0.24204420022762896
884,0.18,0.24204137914859564
870,0.91,0.24204101864506716
57,0.44,0.2420403099700658
993,0.62,0.2420402028936538
165,0.92,0.24203979836100906
995,0.86,0.2420391969164213
994,0.09,0.24203910143523763
191,0.48,0.2420383964232653
691,0.78,0.24203825457771688
494,0.05,0.24203801172392556
119,0.61,0.2420367431510643
44,0.4,0.24203362401376977
380,0.62,0.24203290869086355
573,0.93,0.24203156758562297
429,0.44,0.24203059534797794
172,0.73,0.24202879277855446
596,0.4,0.24202689105986522
568,0.54,0.24202647235684857
194,0.76,0.24202627134141755
561,0.54,0.24202384559173812
188,0.56,0.24202031549161737
492,0.48,0.2420198439875611
35,0.83,0.2420175804296354
645,0.8,0.24201397951685263
436,0.74,0.24201313314383283
716,0.31,0.24201143548100562
711,0.71,0.24201071421770215
311,0.36,0.2420087515316885
357,0.81,0.24200707570844457
500,0.23,0.24200630737928344
448,0.19,0.24200556152531116
225,0.64,0.2420054033464976
930,0.88,0.2420040265388522
856,0.13,0.24200344374566235
735,0.48,0.2420026384837454
130,0.89,0.24200210215366072
603,0.8,0.24200051830266436
686,0.06,0.2419987565512449
286,0.34,0.24199802829358352
504,0.83,0.24199749782534438
467,0.57,0.24199646488245127
551,0.79,0.24199619449647355
168,0.19,0.24199614377355594
943,0.9,0.2419959169527983
679,0.31,0.24199573598100527
698,0.43,0.24199352288949832
308,0.91,0.2419922217970318
676,0.87,0.24199197170410958
158,0.14,0.24199074350420957
778,0.53,0.2419887539140042
800,0.79,0.24198702774821157
42,0.37,0.24198609741694
612,0.42,0.24198560391562804
359,0.9,0.24198371440465716
511,0.67,0.24198361157787962
651,0.62,0.24198281901413435
791,0.31,0.24198098806844065
393,0.1,0.24198090213218826
267,0.34,0.2419804822843984
759,0.21,0.2419759195344963
99,0.37,0.24197531182267268
880,0.66,0.24197529422475053
441,0.76,0.241973847719424
611,0.33,0.2419729415180895
499,0.88,0.24197273640568825
745,0.84,0.2419723921526537
987,0.42,0.241968432749215
67,0.44,0.24196560448085655
26,0.11,0.2419635555574477
351,0.68,0.2419607808131543
184,0.76,0.24196068123496822
912,0.65,0.24196061099777105
378,0.72,0.2419596386282698
203,0.62,0.24195929792838855
582,0.7,0.24195742931264788
185,0.24,0.24195737858417798
736,0.1,0.2419563514898441
162,0.05,0.24195437966892774
28,0.43,0.2419541449541153
781,0.24,0.24195393091359302
897,0.79,0.2419535011102076
934,0.53,0.24195271002931742
356,0.79,0.24195195661191238
729,0.54,0.2419517147985998
675,0.35,0.2419505466938728
762,0.07,0.2419470944009474
509,0.43,0.24194264522227552
293,0.41,0.24194235827909868
250,0.39,0.24194133526481904
458,0.21,0.2419378764321413
124,0.3,0.24193558264448192
950,0.16,0.24193505128659698
443,0.32,0.24193438475168483
289,0.23,0.241933043466181
732,0.37,0.24193272621343304
530,0.38,0.2419319097371114
24,0.82,0.24193186814704987
312,0.42,0.24193132754229485
513,0.72,0.24193107292244437
376,0.47,0.2419307162274331
775,0.59,0.24192944958961624
821,0.71,0.24192941702055465
883,0.44,0.2419293959606446
433,0.43,0.24192822587641757
685,0.14,0.24192671550119713
430,0.06,0.2419263699019474
990,0.71,0.24192613229619206
284,0.32,0.24192570093433302
618,0.83,0.24192554516106635
227,0.47,0.2419252001293046
785,0.74,0.24192327523462387
783,0.24,0.24192177810054993
621,0.85,0.24191871329973014
86,0.49,0.24191858095224225
307,0.54,0.24191817827019213
663,0.69,0.24191771760696001
740,0.91,0.24191684445844747
476,0.57,0.2419137518666049
149,0.93,0.24191202545855042
217,0.93,0.24191190478087582
888,0.25,0.24191185494521816
385,0.34,0.24190979191401749
543,0.27,0.2419082813932658
329,0.28,0.24190636200731214
606,0.91,0.24190627635089898
238,0.17,0.2419050812438751
285,0.63,0.2419045827108464
632,0.34,0.24190454854826554
8,0.49,0.24190402712588485
715,0.64,0.2419027181686059
882,0.54,0.2419005535078097
214,0.64,0.2419002036317385
281,0.74,0.24189985678706907
128,0.56,0.2418978618119661
872,0.77,0.24189751646711052
176,0.74,0.24189595906681238
300,0.11,0.24189503322729347
437,0.6,0.24189226491940116
116,0.31,0.2418912274055102
365,0.87,0.24189077755630678
496,0.19,0.24188894204513628
914,0.45,0.24188829229936967
945,0.3,0.24188804722174595
93,0.68,0.24188633650798602
342,0.46,0.24188505258184972
827,0.11,0.2418847586625866
667,0.71,0.24188418748647475
917,0.57,0.24188358236757468
201,0.76,0.2418825740480039
155,0.3,0.24188207726406616
973,0.33,0.24188192121052376
258,0.79,0.24188027818989657
399,0.06,0.24187816561121553
625,0.8,0.241877659638447
673,0.57,0.24187463804710155
741,0.25,0.24187446618894232
865,0.55,0.2418723550586813
187,0.65,0.2418721899383089
76,0.71,0.24187213115599024
309,0.55,0.2418715284591167
815,0.56,0.2418708326177582
964,0.74,0.24187063429624434
223,0.3,0.24186970460359788
60,0.38,0.2418694773970382
828,0.68,0.24186758858549123
212,0.72,0.24186731090155664
71,0.19,0.24186711244560913
654,0.71,0.2418662442789821
985,0.28,0.2418658332579191
525,0.8,0.24186549803375385
431,0.87,0.24186460292435524
534,0.86,0.241863749202281
695,0.78,0.24186330289957966
442,0.59,0.24186316703150015
373,0.74,0.2418627244636749
636,0.82,0.2418624821863369
600,0.62,0.24186177684210383
363,0.38,0.24186079263243707
941,0.85,0.2418589366342508
